Company,Public Or Private,Country,Industry,Description,Website,Employees (Estimate),Region,Sdg 1: Aligned,Sdg 1: Misaligned,Sdg 2: Aligned,Sdg 2: Misaligned,Sdg 3: Aligned,Sdg 3: Misaligned,Sdg 4: Aligned,Sdg 4: Misaligned,Sdg 5: Aligned,Sdg 5: Misaligned,Sdg 6: Aligned,Sdg 6: Misaligned,Sdg 7: Aligned,Sdg 7: Misaligned,Sdg 8: Aligned,Sdg 8: Misaligned,Sdg 9: Aligned,Sdg 9: Misaligned,Sdg 10: Aligned,Sdg 10: Misaligned,Sdg 11: Aligned,Sdg 11: Misaligned,Sdg 12: Aligned,Sdg 12: Misaligned,Sdg 13: Aligned,Sdg 13: Misaligned,Sdg 14: Aligned,Sdg 14: Misaligned,Sdg 15: Aligned,Sdg 15: Misaligned,B Corp,Company Size,Culture Score,Capacity Score,Conduct Score,Collaboration Score,Oracle Score,Revenue (M),Member Of Business In The Community Uk,Member Full Abpi,Net Impact Ratio,B Corp Community Impact Score,B Corp Assessment Score
Empresas Copec,Public,Chile,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,South America,0,0,0,0,0,0,0,0,0,0,0,-0.099,0.032,-0.297,0.25,0,0.016,-0.198,0,0,0.048,-0.198,0,0,0.032,-0.395,0,-0.101,0,-0.016,0,Large,0,16.16978954,0,0,0,24787,0,0,0.583700441,,
Braskem,Public,Brazil,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,South America,0,0,0,0,0,0,0,0,0,0,0,-0.071,0,-0.143,0.25,0,0,-0.071,0,0,0,-0.071,0,0,0,-0.429,0,-0.107,0,-0.071,0,Large,0,16.19528633,0,0,0,20306,0,0,0.480176211,,
Adams Resources & Energy,Public,USA,Environment and Energy,No description available currently.,www.adamsresources.com/,"710 (Demandbase, 2021)",North America,0,0,0,0,0,0,0,0,0,0,0,-0.119,0,-0.429,0.25,0,0,-0.31,0,0,0,-0.31,0,-0.06,0,-0.607,0,-0.119,0,0,0,Medium,0,16.20205581,0,0,0,2474,0,0,0.647577093,,
Schrodinger,Public,USA,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Micro,0,16.26651982,34.58322844,0,0,27,0,0,0.964757709,,
China Tourism Group Duty Free,Public,China,Transportation and Logistics,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,-0.031,0.031,-0.156,0,0,0,0,0,-0.063,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,0,16.33647577,1.258967904,0,0,7508,0,0,0.513215859,,
Aegis Logistics,Public,India,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.263,0,-0.639,0.25,0,0.083,-0.376,0,0,0,-0.376,0,0,0,-0.696,0,-0.304,0,0,0,Medium,0,16.35786588,0,0,0,1052,0,0,0.627753304,,
Sahara International Petrochemcl Co SJSC,Public,Saudi Arabia,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0.028,0,0,0,0,0,0,-0.097,0.015,-0.195,0.25,0,0.029,-0.097,0,0,0.015,-0.097,0,0,0.015,-0.254,0.015,-0.097,0,0,0,Medium,0,16.37312775,0,0,0,2763,0,0,0.475770925,,
Helix Energy Solutions,Public,USA,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,-0.374,0,-0.444,0.25,0,0.026,-0.4,0,0,0,-0.4,0,0,0,-0.548,0,-0.374,0,0,0,Small,0,16.40144884,0,0,0,754,0,0,0.656387665,,
Nabors Industries,Public,Bermuda,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,-0.281,0,-0.625,0.25,0,0,-0.281,0,0,0,-0.281,0,0,0,-0.813,0,-0.469,0,0,0,Medium,0,16.4057954,0,0,0,2437,0,0,0.625550661,,
Advanced Petrochemical,Public,Saudi Arabia,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,Small,0,16.44273127,0,0,0,863,0,0,0.464757709,,
Saudi Kayan Petrochemical Company SJSC,Public,Saudi Arabia,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0.05,0,0,0,0,0,0,-0.1,0,-0.2,0.25,0,0,-0.1,0,0,0,-0.1,0,0,0,-0.4,0,-0.1,0,0,0,Medium,0,16.47136565,0,0,0,3375,0,0,0.482378855,,
Talos Energy,Public,USA,Environment and Energy,No description available currently.,www.talosenergy.com/home/default.aspx,"436 (Demandbase, 2022)",North America,0,0,0,0,0,0,0,0,0,0,0,-0.417,0,-0.667,0.25,0,0,-0.417,0,0,0,-0.417,0,0,0.167,-0.583,0,-0.417,0,0,0,Medium,0,16.48912385,0,0,0,1692,0,0,0.674008811,,
Air Canada,Public,Canada,Transportation and Logistics,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,-0.43,0,0,0,-0.468,0,0,0,0,0,Large,0,16.57488988,0,0,0,10770,0,0,0.469162996,,
Rongsheng Petrochemical,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.259,0,-0.369,0.25,0,0,-0.259,0,0,0,-0.259,0,0,0.028,-0.354,0,-0.259,0,0,0,Large,0,16.62806166,0,0,0,24459,0,0,0.557268722,,
Korean Air,Public,USA,Transportation and Logistics,No description available currently.,www.koreanair.com/global/en.html,"100 (Demandbase, 2020)",North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,-0.464,0.02,0,0,-0.482,0,0,0,0,0,Medium,0,16.64273127,0,0.2,0,8097,0,0,0.464757709,,
China Oilfield Services,Public,China,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.443,0,-0.443,0.25,0,0,-0.443,0,0,0,-0.443,0,0,0,-0.5,0,-0.443,0,0,0,Medium,0,16.66917279,0,0,0,4586,0,0,0.689427313,,
HK Electric Investments,Public,Hong Kong,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,-0.188,0,0,0,0,0,-0.375,0.1,-0.45,0.25,0,0.05,-0.45,0,0,0.05,-0.45,0,0,0.1,-0.45,0,-0.375,0,0,0,Small,0,16.67250124,0,0,0,104,0,0,0.737885463,,
Safran,Public,France,Aerospace and Defense,"Safran S.A. is a French multinational company that designs, develops and manufactures aircraft engines, rocket engines as well as various aerospace and defense-related equipment or their components. It was formed by a merger between SNECMA and the defense electronics specialist SAGEM in 2005. Safran's acquisition of Zodiac Aerospace in 2018 significantly expanded its aeronautical activities.Employing over 95,000 people and generating 24.64 billion euros in sales in 2019, the company is listed on the Euronext stock exchange and is part of the CAC 40 and Euro Stoxx 50. Its headquarters are located in Paris. CollapseSource: Wikipedia",www.safran-group.com,"83,000 (Company website, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0,0,0,0,0,0,0,0,0.018,-0.021,0,0,0,0,0,Large,0,16.68062653,4.400671287,0,0,21709,0,0,0.625550661,,
Enn Energy,Public,China,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.181,0.032,-0.654,0.25,0,0.032,-0.473,0,0,0.016,-0.473,0,0,0.032,-0.771,0,-0.181,0,0,0,Large,0,16.74568772,0,0,0,15968,0,0,0.691629956,,
TC Energy,Public,Canada,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0.015,-0.485,0.25,0,0.015,-0.485,0,0,0.015,-0.485,0,0,0.023,-0.924,0,0,0,0,0,Large,0,16.7815957,0,0,0,10852,0,0,0.702643172,,
Timkensteel,Public,USA,Industrial and Manufacturing,No description available currently.,www.timkensteel.com/,"1,700 (Demandbase, 2022)",North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,0,16.83920704,0.294577295,0,0,1301,0,0,0.477973568,,
Interglobe Aviation,Public,India,Transportation and Logistics,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,-0.78,0,0,0,-0.53,0,0,0,0,0,Medium,0,16.90528633,0,0,0,3653,0,0,0.480176211,,
Euronav,Public,Belgium,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0,0,0,0,0,0,0,-0.057,0,-0.172,0.25,0,0,-0.116,0,0,0,-0.116,0,0,0,-0.285,0,-0.113,0,0,0,Small,0,16.93266764,0,0,0,420,0,0,0.59030837,,
Frontline,Public,Bermuda,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,0,17.02398433,0,0,0,1114,0,0,0.555066079,,
Indocement Tunggal Prakarsa Tbk,Public,Indonesia,Construction and Materials,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-0.99,0,-0.495,0,-0.5,0,Medium,0,17.03744494,0.459775545,0,0,1054,0,0,0.484581498,,
Biohaven Pharmaceutical,Public,USA,Healthcare and Pharmaceuticals,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0.762,0,0,0,0,0,0,0,0,0,0.25,0,0.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Micro,0,17.05280226,46.28644326,0,0,29,0,0,0.944933921,,
Tellurian,Public,USA,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.25,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.75,0,0,0,0,0,Small,0,17.10230055,0,0,0,311,0,0,0.724669604,,
Chesapeake Utilities,Public,USA,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.25,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.75,0,0,0,0,0,Small,0,17.10230055,0,0,0,654,0,0,0.724669604,,
SsangYong C&E,Public,South Korea,Construction and Materials,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-1,0,-0.5,0,-0.5,0,Medium,0,17.10352423,0.51484162,0,0,1336,0,0,0.486784141,,
Novolipetsk Steel,Public,Russian Federation,Industrial and Manufacturing,"Novolipetsk Steel, or NLMK, is one of the four largest steel companies in Russia.
NLMK's share of domestic crude steel production is about 21%. It primarily
produces flat steel products, semi-finished steel products and electrical steels.
NLMK also produces specialty coated steels, plus high-ductility and micro-alloyed
steels. It is the 21st-largest steel maker in the world. The larger NLMK group owns a
number of other steel and mining industries, mostly in Russia....Source: Wikipedia",www.nlmksteel.com/,"52,800 (Demandbase, 2020)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.043,0,-0.087,0.25,0,0,-0.043,0,0,0.043,-0.043,0,0,0,-0.087,0,-0.09,0,-0.094,0,Large,0,17.2682379,0.652103012,0,0,16196,0,0,0.50660793,,
Norwegian Air Shuttle,Public,Norway,Transportation and Logistics,"Norwegian Air Shuttle ASA, trading as Norwegian, is a Norwegian low-cost airline and Scandinavia's second-largest airline, behind Scandinavian Airlines. It is the fourth largest low-cost carrier in Europe behind Wizz Air, easyJet and Ryanair, the largest airline in Norway, and the ninth-largest airline in Europe in terms of passenger numbers. It offers a high-frequency domestic flight schedule within Scandinavia and Finland, and to business destinations such as London, as well as to holiday destinations in the Mediterranean and the Canary Islands, transporting over 30 million people in 2016. The airline is known for its distinctive livery of white with a red nose, with portraits of high achievers on the tail fins of its aircraft.Norwegian's flights are operated by itself as well as fully owned subsidiaries, including Norwegian Air Sweden and Norwegian Air Norway. Each airline holds a unique air operator's certificate (AOC) but shares branding, corporate identity, and commercial functions with the rest of the Group.Until December 2019, Norwegian also owned and operated Norwegian Air Argentina, which operated domestic flights within the country.Until January 2021, Norwegian's former long-haul subsidiaries Norwegian Air UK and Norwegian Long Haul operated long-haul flights on behalf of the company, after which both subsidiaries were put into liquidation when long-haul operations were ended due to the COVID-19 pandemic. Until April 2021, Norwegian utilised Ireland-based Norwegian Air International for European-based operations outside of Norway or Sweden.CollapseSource: Wikipedia",www.norwegian.com/en/,"9,388 (Demandbase, 2020)",Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,-0.178,0,0,0,-0.611,0,0,0,0,0,Medium,0,17.3017621,0,0,0,3296,0,0,0.49339207,,
Wanhua Chemical,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.046,0,-0.091,0.25,0,0,-0.046,0,0,0,-0.046,0,0,0,-0.186,0,-0.046,0,0,0,Large,0,17.30431719,0.382169087,0,0,23654,0,0,0.508810573,,
China Resources Gas,Public,Hong Kong,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.017,0,-0.48,0.25,0,0,-0.48,0,0,0,-0.48,0,0,0,-0.833,0,-0.017,0,0,0,Large,0,17.33881548,0,0,0,12073,0,0,0.726872247,,
Qantas Airways,Public,Australia,Transportation and Logistics,No description available currently,No wesbite information available currently,No employee estimate available currently,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.087,-0.386,0,0,0,-0.505,0,0,0,0,0,Large,0,17.43392071,0,0,0,10790,0,0,0.497797357,,
Hengli,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,-0.1,0.25,0,0,-0.107,0,0,0,-0.05,0,0,0,-0.225,0,-0.05,0,0,0,Large,0,17.48726873,0.50129537,0,0,22972,0,0,0.535242291,,
Jiangsu Shagang,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,-0.048,0,0,0,0,0,-0.096,0,-0.145,0.25,0,0.012,-0.096,0,0,0,-0.096,0,0,0,-0.261,0,-0.12,0,-0.048,0,Large,0,17.50158589,0.529893004,0,0,36488,0,0,0.544052863,,
Archrock,Public,USA,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.25,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.688,0,0,0,0,0,Small,0,17.5134606,0,0,0,781,0,0,0.740088106,,
Ambuja Cements,Public,India,Construction and Materials,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-1,0,-0.5,0,-0.5,0,Medium,0,17.56607929,0.90030417,0,0,3816,0,0,0.502202643,,
Ducommun,Public,USA,Aerospace and Defense,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0,0.25,0,0.176,0,0,0,0.11,-0.044,0,-0.088,0.066,-0.11,0,0,0,0,0,Small,0,17.58483603,6.96946717,0.684444444,0,730,0,0,0.640969163,,
International Seaways,Public,USA,Transportation and Logistics,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,-0.406,0.25,0,0,-0.281,0,0,0,-0.281,0,0,0,-0.656,0,-0.25,0,0,0,Small,0,17.66356829,0,0,0,621,0,0,0.599118943,,
AGL Energy,Public,Australia,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Oceania,0,0,0,0,0,-0.139,0,0,0,0,0,-0.278,0.149,-0.411,0.25,0,0.089,-0.411,0,0,0.074,-0.411,0,0,0.149,-0.545,0,-0.278,0,0,0,Medium,0,17.6839158,0,0,0,9479,0,0,0.733480176,,
Kuala Lumpur Kepong,Public,Malaysia,"Agriculture, Fishing, Forestry",No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0.055,0,0,0,0,0,0,0,0,-0.055,0,-0.055,0.25,0,0,-0.055,0,0,0,-0.055,0,0,0,-0.055,0,-0.055,0,-0.101,0,Medium,0,17.6982379,0.093769679,0,0,6305,0,0,0.50660793,,
Anhui Conch Cement,Public,China,Construction and Materials,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-0.937,0,-0.481,0,-0.521,0,Large,0,17.6982379,1.010436345,0,0,24887,0,0,0.50660793,,
Haynes,Public,USA,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,Small,0,17.71920704,0.294577295,0.88,0,490,0,0,0.477973568,,
Franco-Nevada,Public,Canada,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,-0.127,0,-0.196,0.25,0,0,-0.097,0,0,0,-0.097,0,0,0,-0.184,0,-0.497,0,-0.8,0,Medium,0,17.71942731,0.303094187,0,0,1020,0,0,0.539647577,,
Hafnia,Public,Singapore,Transportation and Logistics,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,-0.5,0.25,0,0,-0.25,0,0,0,-0.25,0,0,0,-1,0,-0.5,0,0,0,Small,0,17.77533039,0,0,0,840,0,0,0.592511013,,
CNX Resources,Public,USA,Environment and Energy,No description available currently.,www.cnx.com/,"441 (Demandbase, 2021)",North America,0,0,0,0,0,0,0,0,0,0,0,-0.477,0,-0.738,0.25,0,0,-0.488,0,0,0,-0.488,0,0,0,-0.523,0,-0.488,0,0,0,Medium,0,17.79633871,0,0,0,3880,0,0,0.746696035,,
Quaker Chemical,Public,USA,Industrial and Manufacturing,"Quaker Houghton is an American chemical company that was founded in 1918. It is headquartered in Conshohocken, Pennsylvania. With its global presence in 21 countries and 35 locations worldwide, the company has over 50% of net sales outside of the United States. Quaker Houghton manufactures process fluids for use in the steel, aluminum, metalworking, automotive, mining, aerospace, tube & pipe, can making, and other industrial processes. On August 1, 2019, Quaker Chemical combined with Houghton International to form Quaker Houghton.CollapseSource: Wikipedia",www.quakerchem.com,"4,700 (Demandbase, 2021)",North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.032,0,0,-0.298,0,0,0,0,0,Medium,0,17.82,0.845238095,0.32,0,1863,0,0,0.5,,
Ningxia Baofeng Energy,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.111,0,-0.111,0.25,0,0,-0.056,0,0,0,-0.056,0,0,0,-0.389,0,-0.056,0,0,0,Medium,0,17.99726873,0.87629537,0,0,3820,0,0,0.535242291,,
OMV,Public,Austria,Environment and Energy,"OMV (formerly abbreviation for Österreichische Mineralölverwaltung Aktiengesellschaft (English: Austrian Mineral Oil Administration Stock Company)) is an Austrian multinational integrated oil, gas and petrochemical company which is headquartered in Vienna, Austria. The company is listed on the Vienna Stock Exchange. In the 2021 Forbes Global 2000, OMV Group was ranked as the 413th -largest public company in the world.It is active in the oil and gas upstream and downstream businesses as well as in petrochemicals and plastics recycling.CollapseSource: Wikipedia",www.omv.com,"22,338 (Demandbase, 2021)",Europe,0,0,0.074,0,0,0,0,0,0,0,0,-0.419,0,-0.656,0.25,0,0,-0.362,0,0,0,-0.362,0.074,0,0,-0.538,0,-0.382,0,-0.037,0,Large,0,17.99988253,0,0,0,40549,0,0,0.662995595,,
Shandong Iron and Steel,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Large,0,18.02863435,1.369100054,0,0,17414,0,0,0.517621145,,
Carpenter Technology,Public,USA,Industrial and Manufacturing,No description available currently.,www.cartech.com/,"3,900 (Demandbase, 2020)",North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,-0.143,0,-0.286,0,Medium,0,18.09471367,1.424166154,0,0,1557,0,0,0.519823789,,
Equitrans Midstream,Public,USA,Environment and Energy,No description available currently.,www.equitransmidstream.com/,"766 (Demandbase, 2021)",North America,0,0,0,0,0,0,0,0,0,0,0.046,0,0,-0.477,0.25,0,0.046,-0.477,0,0,0.023,-0.477,0,0,0,-0.696,0,0,0,0,0,Medium,0,18.12679394,0,0,0,1249,0,0,0.740088106,,
Shree Cement,Public,India,Construction and Materials,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0.25,0,0.026,0,0,0,0,0,0,0,0.015,-0.966,0,-0.483,0,-0.488,0,Medium,0,18.15647577,1.47563457,0.26,0,1994,0,0,0.513215859,,
AviChina Industry & Technology,Public,China,Aerospace and Defense,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.028,0,0,0,0.028,-0.476,0,0,0,-0.338,0,0,0,0,0,Medium,0,18.19746452,2.942521512,0.217777778,0,9275,0,0,0.68722467,,
W. R. Grace,Public,USA,Industrial and Manufacturing,"W. R. Grace and Co. is an American chemical business based in Columbia, Maryland. It produces specialty chemicals and specialty materials in two divisions: Grace Catalysts Technologies, which makes catalysts and related products and technologies used in petrochemical, refining, and other chemical manufacturing applications, and Grace Materials and Chemicals, which makes specialty materials, including silica-based and silica-alumina-based materials, used in pharmaceutical/consumer, coatings, and chemical process applications.For much of its early history, Grace's main business was in South America, in maritime shipping, railroads, agriculture, and silver mining, with 30,000 employees in Peru. In the 1950s, Grace began to diversify and grew into a Fortune 100 worldwide conglomerate. After emerging from a prolonged bankruptcy period of 12 years in 2014, the company spun off its other major operating divisions. In 2015, Grace separated into two independent public companies. Its Catalysts and Material Technologies business segments remained in Grace, and what would later become GCP Applied Technologies Inc. held its Construction Products and Darex Packaging Technologies businesses.In September 2021, Standard Industries acquired Grace (Catalysts and Material Technologies business segments).CollapseSource: Wikipedia",www.grace.com,"4,000 (Demandbase, 2020)",North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-0.046,0,-0.023,0,-0.046,0,Medium,0,18.22687225,1.534298304,0,0,1859,0,0,0.524229075,,
Delek,Public,Israel,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,-0.067,0,0,0,0,0.067,-0.333,0,-0.333,0.25,0,0.067,-0.333,0,0,0.033,-0.433,0,0,0,-0.567,0,-0.3,0,0,0,Medium,0,18.23432206,0,0,0,3351,0,0,0.711453744,,
Zhejiang Juhua,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.014,0,-0.028,0.25,0,0,-0.014,0,0,0,-0.014,0,-0.083,0,-0.256,0,-0.097,0,0,0,Medium,0,18.24806166,2.210289479,0,0,3209,0,0,0.557268722,,
Perenti Global,Public,Australia,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161,0.25,0,0,0,0,0,0,0,0,0,0,-0.375,0,-0.161,0,-0.179,0,Medium,0,18.29295154,1.589364379,0,0,1467,0,0,0.526431718,,
Pirelli,Public,Italy,Industrial and Manufacturing,"Pirelli & C. S.p.A. is an Italian multinational tyre manufacturer based in the city of Milan, Italy. The company, which has been listed on the Milan Stock Exchange since 1922, is the 6th-largest tyre manufacturer and is focused on the consumer production of tyres for cars, motorcycles and bicycles. It is present in Europe, the Asia-Pacific, Latin America, North America and the Post-Soviet states, operating commercially in over 160 countries. It has 19 manufacturing sites in 13 countries and a network of around 14,600 distributors and retailers. In 2015, China National Chemical Corp. Ltd. (ChemChina) took controlling interest of Pirelli; with the Chinese state-owned company agreeing to maintain the tyre company's ownership structure until 2023.Pirelli has been sponsoring sport competitions since 1907 and is the exclusive tyre partner and supplier for the Grand-Am Rolex Sports Car Series for 2008–2010, FIA Formula One World Championship for 2011–present and for the FIM World Superbike Championship. Pirelli's headquarters are located in Milan's Bicocca district.Pirelli is now solely a tyre manufacturing company. In the past, it had been involved in fashion and operated in renewable energy and sustainable mobility.On 4 October 2017, Pirelli returned to the Milan Stock Exchange after focusing its business on pure consumer products (tyres for car, motorcycles, and bicycles) and related services, and separating the business of industrial tyre.Pirelli's eponymous calendar has been published since 1964, and has featured the contributions of many famous photographers over the years such as Helmut Newton, Steve McCurry, Peter Lindbergh, Richard Avedon, Bruce Weber, Herb Rits and Annie Leibovitz.The company's US-based headquarters are located in Rome, Georgia.CollapseSource: Wikipedia",www.pirelli.com,"30,787 (Demandbase, 2020)",Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,0,18.29295154,1.589364379,0,0,5299,0,0,0.526431718,,
Dorian LPG,Public,USA,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,-0.5,0.25,0,0,-0.25,0,0,0,-0.25,0,0,0,-0.833,0,-0.417,0,0,0,Small,0,18.3259912,0,0,0,390,0,0,0.68722467,,
Black Hills,Public,USA,Environment and Energy,No description available currently.,www.blackhillscorp.com/,"2,884 (Demandbase, 2021)",North America,0,0,0,0,0,0,0,0,0,0,0,-0.22,0.106,-0.403,0.25,0,0.013,-0.261,0,0,0.012,-0.261,0,0,0.083,-0.427,0,-0.219,0,0,0,Medium,0,18.34376898,0,0,0,2323,0,0,0.68722467,,
Adani Enterprises,Public,India,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0.037,0,0,-0.339,0,0,0,0,0.037,0,0.035,-0.339,0.25,0,0.126,-0.339,0,0,0.055,-0.339,0.019,0,0.035,-0.344,0.037,0,0,0,0,Medium,0,18.35497797,2.549386404,0,0,7651,0,0,0.693832599,,
Toho Gas,Public,Japan,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.131,0.145,-0.558,0.25,0,0.073,-0.427,0,0,0.073,-0.427,0,0,0.036,-0.69,0,-0.131,0,0,0,Medium,0,18.40007833,0,0,0,3648,0,0,0.724669604,,
